,user_id,gender,ratings_count,reviews_count,year_joined,young_age,location,friends,fav_genres,groups_count,2018,avg_page_18,2019,avg_page_19,2020,avg_page_20,fav_genres2,category,category_simplified,total_page,challenge_completed
57,58,1,396,194,2013,1,Asia,153,"['Classics', 'Crime', 'Fantasy', 'Fiction', 'Gay Lesbian', 'Graphic novels', 'Horror', 'Humor Comedy', 'Manga', 'Mystery', 'Paranormal', 'Psychology', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult', 'Magic', 'fairy-tales']",8,0,475,0,523,1,296,"['Classics', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Horror', 'Humor Comedy', 'Comics', 'Thriller', 'Horror', 'Psychology', 'Fiction', 'Thriller', 'Thriller', 'Young-adult', 'Magic', 'fairy-tales']","{'Fiction', 'Non-fiction'}",1,1294,1
58,59,1,181,34,2015,1,Asia,83,"['Biography', 'Business', ""Children's"", 'Contemporary', 'Cookbooks', 'Crime', 'Fantasy', 'Fiction', 'Graphic novels', 'Historical fiction', 'History', 'Horror', 'Humor Comedy', 'Mystery', 'Non-fiction', 'Poetry', 'Romance', 'Science fiction', 'Thriller', 'Young-adult']",0,0,274,1,317,1,341,"['Biography', 'Business', ""Children's"", 'Fiction', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'History', 'Horror', 'Humor Comedy', 'Thriller', 'Non-fiction', 'Romance', 'Fiction', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,932,2
59,60,1,101,15,2018,0,Asia,56,"['Fantasy', 'Fiction', 'History', 'Horror', 'Science fiction', 'Thriller', 'Young-adult']",1,0,376,0,317,0,238,"['Fiction', 'Fiction', 'History', 'Horror', 'Fiction', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,931,0
60,61,1,181,114,2016,1,EU,673,"['Classics', 'Fantasy', 'Fiction', 'Historical fiction', 'History', 'Horror', 'Mystery', 'Paranormal', 'Romance', 'Suspense', 'Thriller', 'Young-adult', 'urban-fantasy', 'time-travel-romance', 'medieval', 'time-travel', 'paranormal-romance', 'historical-romance', 'epic-fantasy', 'vampires', 'scotland', 'gothic', 'classic-literature', 'fairy-tales', 'high-fantasy', 'fantasy-romance', 'mythology', 'regency', 'omegaverse', 'football']",10,0,387,1,616,1,244,"['Classics', 'Fiction', 'Fiction', 'Fiction', 'History', 'Horror', 'Thriller', 'Horror', 'Romance', 'Thriller', 'Thriller', 'Young-adult', 'urban-fantasy', 'time-travel-romance', 'medieval', 'time-travel', 'paranormal-romance', 'historical-romance', 'epic-fantasy', 'vampires', 'scotland', 'gothic', 'classic-literature', 'fairy-tales', 'high-fantasy', 'fantasy-romance', 'mythology', 'regency', 'omegaverse', 'football']","{'Fiction', 'Non-fiction'}",1,1247,2
61,62,1,316,20,2014,1,EU,98,"['Classics', 'Contemporary', 'Fiction', 'Non-fiction']",3,1,298,1,345,0,311,"['Classics', 'Fiction', 'Fiction', 'Non-fiction']","{'Fiction', 'Non-fiction'}",1,954,2
62,63,1,242,17,2017,0,EU,36,"['Art', 'Biography', ""Children's"", 'Christian', 'Fantasy', 'Fiction', 'Memoir', 'Non-fiction', 'Philosophy', 'Poetry', 'Psychology', 'Religion', 'Self help', 'Spirituality', 'Young-adult']",0,1,339,1,364,0,371,"['Biography', ""Children's"", 'Religion', 'Fiction', 'Fiction', 'Biography', 'Non-fiction', 'Philosophy', 'Psychology', 'Religion', 'Self help', 'Religion', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,1074,2
63,64,1,524,432,2014,0,USA,1381,"['Contemporary', 'Crime', 'Fiction', 'Mystery', 'Non-fiction', 'Psychology', 'Science']",0,1,365,1,338,1,349,"['Fiction', 'Thriller', 'Fiction', 'Thriller', 'Non-fiction', 'Psychology', 'Science']","{'Fiction', 'Non-fiction'}",1,1052,3
64,65,1,396,109,2012,1,EU,2389,"['Business', 'Horror', 'Literary Fiction', 'Paranormal', 'Romance', 'Science fiction']",8,0,306,0,344,0,345,"['Business', 'Horror', 'Fiction', 'Horror', 'Romance', 'Fiction']","{'Fiction', 'Non-fiction'}",0,995,0
65,66,0,688,530,2018,0,EU,1641,"['Art', 'Biography', 'Business', 'Classics', 'Contemporary', 'Fantasy', 'Fiction', 'Gay Lesbian', 'History', 'Non-fiction', 'Philosophy', 'Science', 'Science fiction', 'Young-adult']",8,1,279,1,232,1,275,"['Biography', 'Business', 'Classics', 'Fiction', 'Fiction', 'Fiction', 'History', 'Non-fiction', 'Philosophy', 'Science', 'Fiction', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,786,3
66,67,0,2096,675,2012,0,USA,138,"['Biography', 'Classics', 'Crime', 'Historical fiction', 'History', 'Memoir', 'Paranormal', 'Sports']",4,1,469,1,447,1,435,"['Biography', 'Classics', 'Thriller', 'Fiction', 'History', 'Biography', 'Horror']","{'Fiction', 'Non-fiction'}",0,1351,3
67,68,0,605,547,2011,1,USA,160,"['Biography', 'Historical fiction', 'History', 'Memoir', 'Sports', 'Travel', 'War']",1,1,241,1,275,1,289,"['Biography', 'Fiction', 'History', 'Biography', 'Travel', 'War']","{'Fiction', 'Non-fiction'}",0,805,3
68,69,0,174,17,2013,1,EU,7,"['Biography', 'Business', 'History', 'Science']",2,1,247,1,342,0,310,"['Biography', 'Business', 'History', 'Science']",{'Non-fiction'},0,899,2
69,70,0,449,119,2016,0,EU,436,"['Fantasy', 'Historical fiction', 'Horror']",5,0,527,1,416,1,434,"['Fiction', 'Fiction', 'Horror']",{'Fiction'},1,1377,2
70,71,1,400,45,2018,0,EU,103,"['Fantasy', 'Horror', 'Paranormal', 'Science fiction', 'Nonfiction']",1,1,401,1,408,1,370,"['Fiction', 'Horror', 'Horror', 'Fiction', 'Nonfiction']","{'Fiction', 'Non-fiction'}",1,1179,3
